u	y
6.41000	4.72703	
3.41000	5.05670	
3.41000	5.29846	
3.41000	5.53289	
6.41000	5.46696	
6.41000	5.19590	
6.41000	4.88576	
6.41000	4.76366	
6.41000	4.87599	
6.41000	5.04205	
6.41000	5.28381	
6.41000	5.49138	
6.41000	5.59638	
6.41000	5.67209	
6.41000	5.77221	
6.41000	5.83082	
6.41000	5.93338	
6.41000	5.89919	
6.41000	5.93582	
6.41000	5.89431	
6.41000	5.91873	
6.41000	5.99443	
6.41000	5.95780	
6.41000	6.03106	
6.41000	6.06281	
6.41000	6.04083	
3.41000	6.09700	
6.41000	6.12386	
6.41000	6.16293	
6.41000	6.04083	
6.41000	5.84547	
6.41000	5.77221	
6.41000	5.79907	
6.41000	5.92361	
6.41000	5.92850	
3.41000	6.00176	
3.41000	6.00176	
6.41000	6.06037	
6.41000	5.88210	
6.41000	5.51091	
3.41000	5.32288	
3.41000	5.37172	
3.41000	5.45475	
3.41000	5.43765	
6.41000	5.15927	
6.41000	4.90286	
6.41000	4.58784	
6.41000	4.50237	
6.41000	4.59516	
6.41000	4.82471	
6.41000	5.06403	
3.41000	5.27160	
3.41000	5.46696	
3.41000	5.61592	
3.41000	5.52801	
3.41000	5.25450	
3.41000	4.88332	
3.41000	4.51702	
6.41000	4.19712	
3.41000	4.00176	
3.41000	3.80640	
3.41000	3.90408	
3.41000	3.92361	
6.41000	3.86989	
6.41000	3.80640	
6.41000	3.72093	
6.41000	3.81861	
6.41000	4.14095	
6.41000	4.52923	
6.41000	4.80518	
6.41000	5.08601	
6.41000	5.33997	
6.41000	5.53289	
6.41000	5.57685	
6.41000	5.66720	
6.41000	5.79174	
6.41000	5.85035	
3.41000	5.92361	
3.41000	5.92117	
3.41000	5.97734	
6.41000	5.74046	
6.41000	5.38881	
6.41000	5.00054	
6.41000	4.84913	
6.41000	4.94437	
6.41000	5.17392	
6.41000	5.36928	
6.41000	5.44742	
6.41000	5.60371	
6.41000	5.73069	
6.41000	5.85035	
3.41000	5.97978	
6.41000	5.99199	
6.41000	6.08479	
3.41000	5.94071	
3.41000	5.80395	
3.41000	5.79174	
3.41000	5.60371	
6.41000	5.26427	
3.41000	4.94681	
3.41000	4.61958	
3.41000	4.51458	
3.41000	4.43399	
6.41000	4.28503	
6.41000	4.12142	
6.41000	3.94559	
6.41000	3.98466	
6.41000	4.21910	
6.41000	4.54632	
6.41000	4.87355	
6.41000	5.15438	
6.41000	5.38881	
6.41000	5.61348	
3.41000	5.83570	
3.41000	5.88454	
3.41000	5.95536	
3.41000	5.76244	
3.41000	5.45963	
3.41000	5.06159	
3.41000	4.70750	
3.41000	4.45841	
3.41000	4.26794	
6.41000	4.05304	
6.41000	3.94315	
3.41000	3.82593	
3.41000	3.96757	
3.41000	4.28015	
3.41000	4.48039	
3.41000	4.49260	
3.41000	4.39004	
3.41000	4.19712	
3.41000	4.11165	
6.41000	3.98222	
6.41000	3.86745	
6.41000	3.76732	
6.41000	3.87233	
3.41000	4.23619	
3.41000	4.66354	
3.41000	4.97123	
3.41000	5.06647	
3.41000	4.90286	
6.41000	4.67575	
6.41000	4.39248	
6.41000	4.09944	
6.41000	4.11409	
6.41000	4.32654	
6.41000	4.64400	
6.41000	4.97123	
6.41000	5.15927	
6.41000	5.38881	
6.41000	5.57685	
6.41000	5.65255	
3.41000	5.80395	
6.41000	5.91384	
6.41000	5.88698	
6.41000	5.79907	
6.41000	5.73069	
6.41000	5.76244	
6.41000	5.81372	
3.41000	5.82105	
3.41000	5.92850	
3.41000	6.01397	
3.41000	5.76488	
3.41000	5.41323	
6.41000	5.09822	
6.41000	4.67819	
6.41000	4.37294	
3.41000	4.39248	
3.41000	4.59028	
3.41000	4.91995	
6.41000	5.01763	
6.41000	4.85890	
6.41000	4.67575	
6.41000	4.61958	
6.41000	4.83448	
6.41000	5.09089	
6.41000	5.37660	
6.41000	5.68185	
6.41000	5.82349	
6.41000	5.95292	
6.41000	6.06281	
6.41000	6.08967	
6.41000	6.07502	
3.41000	6.02618	
6.41000	5.99443	
6.41000	6.07746	
6.41000	5.85768	
6.41000	5.70139	
6.41000	5.73069	
3.41000	5.78442	
3.41000	5.82349	
3.41000	5.89431	
3.41000	5.76244	
3.41000	5.41568	
6.41000	4.96146	
6.41000	4.59516	
6.41000	4.33143	
6.41000	4.29724	
3.41000	4.58295	
3.41000	4.86134	
3.41000	5.17392	
3.41000	5.16659	
3.41000	4.91995	
3.41000	4.60737	
6.41000	4.37050	
6.41000	4.18247	
3.41000	4.03839	
3.41000	4.14584	
3.41000	4.43155	
6.41000	4.55609	
6.41000	4.48039	
6.41000	4.37538	
3.41000	4.37050	
3.41000	4.55853	
6.41000	4.85890	
6.41000	4.89553	
6.41000	4.74168	
6.41000	4.74413	
6.41000	4.87599	
6.41000	5.10554	
6.41000	5.23985	
6.41000	5.51824	
6.41000	5.65255	
6.41000	5.72337	
6.41000	5.85524	
6.41000	5.96268	
6.41000	5.98466	
6.41000	5.98466	
6.41000	6.05548	
3.41000	6.06281	
3.41000	6.05548	
3.41000	6.07013	
6.41000	5.78442	
6.41000	5.44010	
6.41000	5.05670	
6.41000	4.94193	
6.41000	5.01030	
6.41000	5.13485	
3.41000	5.31311	
3.41000	5.47917	
3.41000	5.62325	
3.41000	5.56220	
3.41000	5.33021	
3.41000	5.01030	
3.41000	4.66598	
6.41000	4.41446	
3.41000	4.20200	
3.41000	4.04816	
3.41000	4.07990	
3.41000	4.18979	
6.41000	4.13118	
6.41000	4.00420	
6.41000	3.91629	
6.41000	3.96024	
6.41000	4.19956	
6.41000	4.62447	
6.41000	4.88332	
6.41000	5.13729	
6.41000	5.37905	
3.41000	5.62325	
3.41000	5.76244	
6.41000	5.83326	
6.41000	5.68674	
6.41000	5.36684	
6.41000	5.22520	
6.41000	5.23985	
6.41000	5.35463	
6.41000	5.50847	
6.41000	5.59638	
6.41000	5.75267	
3.41000	5.87477	
3.41000	5.90652	
3.41000	5.89431	
6.41000	5.74290	
6.41000	5.44742	
3.41000	5.02496	
3.41000	4.88332	
3.41000	4.88576	
3.41000	4.89309	
3.41000	4.71482	
3.41000	4.45109	
3.41000	4.23375	
3.41000	4.04327	
3.41000	3.86500	
3.41000	3.75756	
3.41000	3.66964	
3.41000	3.59394	
3.41000	3.54754	
3.41000	3.50603	
3.41000	3.45475	
3.41000	3.39858	
6.41000	3.36195	
3.41000	3.33997	
3.41000	3.37416	
3.41000	3.52068	
3.41000	3.71360	
6.41000	3.75756	
3.41000	3.77953	
3.41000	3.69651	
3.41000	3.77709	
6.41000	3.88698	
6.41000	3.90408	
3.41000	3.85035	
6.41000	3.96513	
6.41000	4.28259	
6.41000	4.52190	
6.41000	4.71482	
6.41000	4.97123	
6.41000	5.22032	
6.41000	5.53289	
6.41000	5.65255	
6.41000	5.78198	
6.41000	5.95536	
6.41000	6.03594	
6.41000	6.11897	
6.41000	6.13363	
6.41000	6.15316	
3.41000	6.19223	
3.41000	6.14339	
6.41000	6.16781	
6.41000	5.99199	
3.41000	5.65255	
3.41000	5.45963	
3.41000	5.43765	
3.41000	5.33997	
3.41000	5.09822	
3.41000	4.78564	
3.41000	4.49260	
3.41000	4.23619	
3.41000	4.06769	
3.41000	3.93338	
3.41000	3.82349	
3.41000	3.73069	
3.41000	3.61104	
3.41000	3.56464	
3.41000	3.54999	
6.41000	3.55731	
6.41000	3.51336	
6.41000	3.51580	
3.41000	3.69406	
3.41000	4.07258	
3.41000	4.48039	
3.41000	4.70505	
3.41000	4.61226	
3.41000	4.38515	
3.41000	4.20200	
3.41000	4.02618	
6.41000	3.90408	
6.41000	3.77465	
6.41000	3.69162	
6.41000	3.84547	
6.41000	4.20200	
6.41000	4.58540	
6.41000	4.90286	
6.41000	5.25695	
6.41000	5.51091	
6.41000	5.64034	
3.41000	5.84303	
3.41000	5.97489	
3.41000	5.93582	
3.41000	5.82105	
3.41000	5.52801	
6.41000	5.17148	
6.41000	4.81006	
6.41000	4.45353	
6.41000	4.38027	
6.41000	4.56586	
6.41000	4.80518	
6.41000	5.12508	
6.41000	5.35463	
6.41000	5.58906	
3.41000	5.76488	
6.41000	5.92361	
3.41000	5.94071	
3.41000	5.85768	
3.41000	5.69406	
3.41000	5.48649	
3.41000	5.14950	
3.41000	4.84425	
3.41000	4.54144	
3.41000	4.26794	
3.41000	4.06037	
3.41000	3.96024	
3.41000	3.78930	
3.41000	3.64278	
3.41000	3.52557	
3.41000	3.49870	
3.41000	3.45475	
3.41000	3.40835	
3.41000	3.37905	
3.41000	3.37660	
3.41000	3.36195	
6.41000	3.35951	
6.41000	3.36928	
6.41000	3.39858	
3.41000	3.57929	
3.41000	3.94803	
3.41000	4.41201	
3.41000	4.58540	
3.41000	4.51458	
6.41000	4.34364	
6.41000	4.15560	
3.41000	3.98466	
3.41000	4.04327	
3.41000	4.30701	
3.41000	4.42178	
3.41000	4.35341	
3.41000	4.22398	
3.41000	4.05304	
3.41000	3.94071	
3.41000	3.83814	
3.41000	3.73069	
3.41000	3.65255	
3.41000	3.61104	
3.41000	3.56464	
3.41000	3.49626	
3.41000	3.46207	
3.41000	3.45475	
6.41000	3.42544	
6.41000	3.37905	
6.41000	3.43277	
6.41000	3.62325	
6.41000	3.97489	
6.41000	4.38027	
6.41000	4.71482	
6.41000	5.07380	
3.41000	5.36928	
3.41000	5.60371	
3.41000	5.74535	
3.41000	5.65255	
3.41000	5.40102	
3.41000	5.01519	
6.41000	4.70994	
3.41000	4.41690	
3.41000	4.23619	
6.41000	4.23619	
6.41000	4.24840	
6.41000	4.22154	
6.41000	4.29724	
6.41000	4.59028	
3.41000	4.89309	
6.41000	5.13485	
6.41000	5.42789	
6.41000	5.37905	
6.41000	5.36439	
6.41000	5.45231	
6.41000	5.56708	
6.41000	5.67209	
6.41000	5.76977	
6.41000	5.83082	
6.41000	5.92361	
6.41000	5.96513	
6.41000	6.05792	
6.41000	6.05060	
3.41000	6.07258	
6.41000	6.11165	
6.41000	6.07013	
6.41000	5.89675	
6.41000	5.75511	
6.41000	5.71848	
3.41000	5.82105	
3.41000	6.00176	
3.41000	6.00176	
3.41000	5.90163	
3.41000	5.55731	
3.41000	5.17392	
3.41000	4.80029	
3.41000	4.43155	
3.41000	4.19468	
3.41000	4.00664	
3.41000	3.85035	
3.41000	3.74779	
3.41000	3.64278	
3.41000	3.59150	
3.41000	3.56952	
3.41000	3.52801	
3.41000	3.53778	
3.41000	3.55487	
3.41000	3.49382	
3.41000	3.44742	
3.41000	3.44010	
6.41000	3.40835	
6.41000	3.41079	
6.41000	3.45231	
6.41000	3.68185	
6.41000	4.06037	
6.41000	4.44132	
6.41000	4.85402	
3.41000	5.15438	
3.41000	5.42544	
3.41000	5.59638	
6.41000	5.58662	
3.41000	5.35463	
3.41000	5.02740	
3.41000	4.86378	
6.41000	4.76122	
6.41000	4.57074	
6.41000	4.36806	
6.41000	4.39736	
6.41000	4.57319	
6.41000	4.84181	
6.41000	5.20322	
6.41000	5.45231	
6.41000	5.65255	
3.41000	5.85524	
6.41000	5.90652	
6.41000	5.95292	
6.41000	5.82837	
6.41000	5.79174	
6.41000	5.79907	
3.41000	5.81372	
3.41000	5.87721	
3.41000	5.95536	
3.41000	5.78198	
3.41000	5.51824	
3.41000	5.12752	
3.41000	4.76366	
3.41000	4.49260	
3.41000	4.23375	
3.41000	4.01152	
6.41000	3.85524	
6.41000	3.69162	
6.41000	3.63546	
6.41000	3.81861	
3.41000	4.15560	
3.41000	4.59028	
3.41000	4.98833	
3.41000	5.07624	
3.41000	4.90774	
6.41000	4.64889	
6.41000	4.37783	
6.41000	4.21665	
6.41000	4.28747	
6.41000	4.59028	
6.41000	4.84669	
6.41000	5.13973	
6.41000	5.38881	
6.41000	5.68918	
6.41000	5.88454	
6.41000	6.04327	
6.41000	6.17026	
3.41000	6.21177	
3.41000	6.25084	
6.41000	6.20933	
6.41000	6.01397	
6.41000	5.70139	
6.41000	5.46940	
6.41000	5.47917	
6.41000	5.55731	
3.41000	5.72825	
3.41000	5.88210	
6.41000	5.98466	
6.41000	5.90163	
6.41000	5.58173	
6.41000	5.37172	
6.41000	5.41812	
3.41000	5.51091	
3.41000	5.66720	
3.41000	5.79174	
6.41000	5.69895	
6.41000	5.48405	
6.41000	5.15438	
6.41000	4.98100	
6.41000	5.06159	
6.41000	5.19590	
6.41000	5.35951	
6.41000	5.61592	
3.41000	5.76244	
6.41000	5.85768	
3.41000	5.94803	
3.41000	5.83570	
6.41000	5.70627	
6.41000	5.49870	
6.41000	5.18857	
6.41000	5.11775	
3.41000	5.19101	
6.41000	5.31555	
3.41000	5.53289	
3.41000	5.44498	
3.41000	5.39614	
6.41000	5.27404	
3.41000	5.02740	
3.41000	4.74413	
3.41000	4.66842	
6.41000	4.65133	
3.41000	4.51458	
3.41000	4.26794	
6.41000	4.26061	
6.41000	4.26305	
6.41000	4.18979	
6.41000	4.27770	
6.41000	4.60005	
6.41000	4.93216	
6.41000	5.28381	
6.41000	5.52801	
6.41000	5.74046	
3.41000	5.87477	
3.41000	5.95536	
3.41000	5.99199	
3.41000	5.84547	
3.41000	5.52801	
6.41000	5.06159	
6.41000	4.73436	
3.41000	4.53411	
3.41000	4.53411	
6.41000	4.69773	
6.41000	4.74413	
6.41000	4.61958	
6.41000	4.64400	
6.41000	4.83204	
3.41000	5.13240	
3.41000	5.41079	
3.41000	5.62569	
3.41000	5.60371	
3.41000	5.31555	
3.41000	4.96146	
3.41000	4.61958	
3.41000	4.35829	
3.41000	4.15560	
3.41000	4.03350	
3.41000	3.88698	
3.41000	3.77221	
3.41000	3.64034	
3.41000	3.53289	
3.41000	3.43521	
6.41000	3.42789	
6.41000	3.42300	
6.41000	3.39858	
6.41000	3.60371	
3.41000	4.02373	
3.41000	4.45109	
3.41000	4.79297	
3.41000	4.90286	
3.41000	4.78076	
6.41000	4.59028	
6.41000	4.33631	
6.41000	4.14584	
6.41000	4.21665	
6.41000	4.43399	
6.41000	4.71482	
6.41000	5.09822	
6.41000	5.35951	
6.41000	5.56952	
3.41000	5.77221	
3.41000	5.92117	
6.41000	6.05548	
6.41000	5.96268	
6.41000	5.64278	
6.41000	5.43521	
3.41000	5.38881	
6.41000	5.53778	
6.41000	5.68185	
6.41000	5.70139	
6.41000	5.61592	
6.41000	5.66720	
6.41000	5.74046	
6.41000	5.80395	
6.41000	5.88210	
6.41000	5.95047	
6.41000	6.07258	
6.41000	6.14828	
6.41000	6.11653	
3.41000	6.17758	
3.41000	6.20200	
3.41000	6.20689	
6.41000	5.99199	
6.41000	5.56464	
6.41000	5.17880	
6.41000	4.99809	
6.41000	5.05182	
6.41000	5.23253	
6.41000	5.48405	
6.41000	5.68674	
6.41000	5.89919	
6.41000	5.86989	
6.41000	5.97734	
6.41000	6.05304	
6.41000	6.07990	
6.41000	6.12874	
6.41000	6.07990	
3.41000	6.16781	
3.41000	6.19468	
3.41000	6.23619	
3.41000	6.05304	
3.41000	5.65255	
6.41000	5.27404	
6.41000	4.85890	
6.41000	4.53411	
6.41000	4.45597	
3.41000	4.61958	
3.41000	4.86623	
6.41000	5.11775	
6.41000	5.16659	
6.41000	5.05670	
6.41000	5.00298	
3.41000	5.09822	
3.41000	5.32532	
3.41000	5.56708	
6.41000	5.46696	
6.41000	5.25206	
6.41000	4.94681	
6.41000	4.88088	
6.41000	4.98100	
6.41000	5.22520	
6.41000	5.45963	
6.41000	5.72337	
3.41000	5.79174	
3.41000	5.90652	
3.41000	5.99199	
3.41000	5.83570	
3.41000	5.52801	
3.41000	5.14217	
3.41000	4.77587	
3.41000	4.49016	
3.41000	4.23619	
3.41000	4.02373	
6.41000	3.88698	
6.41000	3.75267	
6.41000	3.68185	
6.41000	3.80640	
6.41000	4.14584	
6.41000	4.60005	
3.41000	5.00298	
6.41000	5.30334	
6.41000	5.55243	
6.41000	5.61592	
6.41000	5.52312	
6.41000	5.61104	
6.41000	5.71360	
6.41000	5.84547	
6.41000	5.89919	
6.41000	5.99443	
6.41000	6.09211	
6.41000	6.09211	
6.41000	6.14339	
3.41000	6.15316	
6.41000	6.23375	
6.41000	6.18735	
3.41000	6.01397	
6.41000	5.83570	
3.41000	5.77465	
3.41000	5.68674	
3.41000	5.53778	
3.41000	5.32776	
3.41000	5.05426	
3.41000	4.70017	
3.41000	4.39492	
3.41000	4.18002	
3.41000	4.04327	
6.41000	3.87721	
6.41000	3.75267	
3.41000	3.72825	
3.41000	3.86989	
6.41000	4.20689	
3.41000	4.35585	
3.41000	4.42667	
3.41000	4.45353	
3.41000	4.52190	
3.41000	4.39248	
6.41000	4.15560	
6.41000	3.96513	
3.41000	3.87721	
3.41000	3.97001	
3.41000	4.25817	
6.41000	4.42178	
6.41000	4.33631	
3.41000	4.29968	
3.41000	4.39248	
3.41000	4.67575	
3.41000	4.76122	
3.41000	4.65866	
3.41000	4.49016	
6.41000	4.30701	
6.41000	4.12630	
6.41000	3.97245	
6.41000	4.07746	
3.41000	4.37294	
3.41000	4.74168	
3.41000	5.08845	
3.41000	5.18613	
6.41000	5.03717	
6.41000	4.78564	
3.41000	4.56342	
3.41000	4.53411	
3.41000	4.70505	
3.41000	4.74168	
3.41000	4.64889	
3.41000	4.43155	
3.41000	4.23863	
3.41000	4.06525	
3.41000	3.94315	
6.41000	3.81128	
6.41000	3.69162	
3.41000	3.65255	
3.41000	3.82593	
3.41000	4.22398	
3.41000	4.42422	
3.41000	4.42911	
3.41000	4.31922	
3.41000	4.13851	
3.41000	3.96513	
3.41000	3.88698	
6.41000	3.80151	
6.41000	3.70139	
6.41000	3.64034	
6.41000	3.76732	
3.41000	4.15072	
3.41000	4.64889	
3.41000	4.99077	
6.41000	5.08845	
3.41000	5.02251	
6.41000	4.78320	
6.41000	4.68552	
6.41000	4.66598	
6.41000	4.70750	
6.41000	4.91262	
6.41000	5.19590	
6.41000	5.41568	
6.41000	5.62325	
6.41000	5.74046	
6.41000	5.89919	
3.41000	5.92850	
3.41000	6.05060	
6.41000	6.15316	
6.41000	5.96513	
6.41000	5.58662	
6.41000	5.38149	
6.41000	5.37172	
6.41000	5.48649	
6.41000	5.56708	
6.41000	5.82105	
6.41000	5.91384	
6.41000	5.99443	
3.41000	6.01152	
6.41000	5.99931	
6.41000	6.01885	
6.41000	5.82105	
6.41000	5.72825	
6.41000	5.74046	
3.41000	5.76488	
3.41000	5.88210	
3.41000	5.92605	
6.41000	5.75023	
6.41000	5.41568	
6.41000	4.99565	
6.41000	4.86134	
6.41000	4.90286	
6.41000	5.10310	
6.41000	5.36439	
6.41000	5.59638	
6.41000	5.75267	
3.41000	5.84547	
3.41000	5.92850	
3.41000	6.00664	
3.41000	5.84058	
3.41000	5.51824	
6.41000	5.17392	
6.41000	4.73924	
6.41000	4.45841	
6.41000	4.42667	
6.41000	4.60249	
6.41000	4.82227	
6.41000	5.18369	
3.41000	5.43033	
3.41000	5.65255	
3.41000	5.82105	
3.41000	5.70627	
3.41000	5.36928	
3.41000	5.02740	
3.41000	4.70505	
6.41000	4.41446	
6.41000	4.14584	
6.41000	3.96513	
6.41000	4.03350	
6.41000	4.37294	
6.41000	4.68308	
